Admin2,9/19/20
Unassigned,0
Union,12
Volusia,218
Wakulla,9
Walton,22
Washington,18
Appling,26
Atkinson,3
Bacon,10
Baker,3
Baldwin,55
Banks,7
Barrow,46
Bartow,82
Ben Hill,20
Berrien,11
Bibb,157
Bleckley,19
Brantley,10
Brooks,27
Bryan,11
Bulloch,25
Burke,9
Butts,42
Calhoun,7
Camden,7
Candler,17
Carroll,63
Catoosa,17
Charlton,6
Chatham,146
Chattahoochee,1
Chattooga,12
Cherokee,91
Clarke,41
Clay,2
Clayton,158
Clinch,6
Cobb,421
Coffee,43
Colquitt,33
Columbia,57
Cook,12
Coweta,41
Crawford,4
Crisp,17
Dade,5
Dawson,6
DeKalb,349
Decatur,27
Dodge,11
Dooly,14
Dougherty,182
Douglas,70
Early,32
Echols,2
Effingham,23
Elbert,3
Emanuel,29
Evans,6
Fannin,12
Fayette,49
Floyd,40
Forsyth,42
Franklin,11
Fulton,564
Gilmer,11
Glascock,2
Glynn,94
Gordon,36
Grady,21
Greene,23
Gwinnett,391
Habersham,66
Hall,143
Hancock,41
Haralson,8
Harris,21
Hart,13
Heard,5
Henry,98
Houston,77
Irwin,4
Jackson,30
Jasper,4
Jeff Davis,19
Jefferson,23
Jenkins,29
Johnson,22
Jones,8
Lamar,17
Lanier,5
Laurens,62
Lee,25
Liberty,22
Lincoln,7
Long,3
Lowndes,76
Lumpkin,14
Macon,10
Madison,8
Marion,8
McDuffie,13
McIntosh,7
Meriwether,12
Miller,1
Mitchell,45
Monroe,48
Montgomery,5
Morgan,2
Murray,5
Muscogee,162
Newton,80
Oconee,26
Oglethorpe,11
Out of GA,149
Paulding,49
Peach,21
Pickens,10
Pierce,17
Pike,9
Polk,17
Pulaski,13
Putnam,23
Quitman,1
Rabun,7
Randolph,28
Richmond,152
Rockdale,35
Schley,2
Screven,9
Seminole,9
Spalding,56
Stephens,33
Stewart,13
Sumter,60
Talbot,5
Taliaferro,0
Tattnall,9
Taylor,9
Telfair,17
Terrell,31
Thomas,58
Tift,56
Toombs,43
Towns,8
Treutlen,8
Troup,93
Turner,22
Twiggs,7
Unassigned,5
Union,17
Upson,59
Walker,29
Walton,52
Ware,53
Warren,5
Washington,8
Wayne,27
Webster,2
Wheeler,11
White,17
Whitfield,60
Wilcox,20
Wilkes,4
Wilkinson,17
Worth,29
,3
,31
Hawaii,15
Honolulu,95
Kalawao,0
Kauai,0
Maui,9
Out of HI,1
Unassigned,0
Ada,144
Adams,1
Bannock,4
Bear Lake,0
Benewah,3
Bingham,10
Blaine,6
Boise,1
Bonner,0
Bonneville,15
Boundary,1
Butte,0
Camas,0
Canyon,99
Caribou,0
Cassia,5
Clark,0
Clearwater,0
Custer,0
Elmore,3
Franklin,0
Fremont,3
Gem,2
Gooding,1
Idaho,0
Jefferson,1
Jerome,7
Kootenai,33
Latah,0
Lemhi,0
Lewis,0
Lincoln,0
Madison,1
Minidoka,7
Nez Perce,24
Oneida,0
Out of ID,0
Owyhee,5
Payette,6
Power,1
Shoshone,18
Teton,0
Twin Falls,35
Unassigned,0
Valley,1
Washington,4
Adams,10
Alexander,1
Bond,4
Boone,23
Brown,0
Bureau,11
Calhoun,0
Carroll,4
Cass,11
Champaign,20
Christian,10
Clark,2
Clay,0
Clinton,20
Coles,28
Cook,5157
Crawford,1
Cumberland,4
De Witt,1
DeKalb,38
Douglas,5
DuPage,550
Edgar,7
Edwards,0
Effingham,1
Fayette,3
Ford,4
Franklin,2
Fulton,0
Gallatin,2
Greene,5
Grundy,5
Hamilton,0
Hancock,3
Hardin,0
Henderson,0
Henry,5
Iroquois,19
Jackson,24
Jasper,9
Jefferson,37
Jersey,13
Jo Daviess,2
Johnson,0
Kane,325
Kankakee,76
Kendall,25
Knox,3
LaSalle,55
Lake,484
Lawrence,2
Lee,1
Livingston,5
Logan,1
Macon,36
Macoupin,7
Madison,130
Marion,0
Marshall,0
Mason,1
Massac,2
McDonough,15
McHenry,118
McLean,19
Menard,0
Mercer,5
Monroe,15
Montgomery,13
Morgan,21
Moultrie,3
Ogle,6
Out of IL,0
Peoria,48
Perry,14
Piatt,0
Pike,1
Pope,1
Pulaski,1
Putnam,0
Randolph,11
Richland,4
Rock Island,71
Saline,3
Sangamon,44
Schuyler,0
Scott,0
Shelby,4
St. Clair,183
Stark,2
Stephenson,6
Tazewell,18
Unassigned,236
Union,24
Vermilion,4
Wabash,1
Warren,2
Washington,1
Wayne,5
White,0
Whiteside,19
Will,372
Williamson,34
Winnebago,149
Woodford,5
Adams,3
Allen,200
Bartholomew,57
Benton,0
Blackford,2
Boone,46
Brown,3
Carroll,13
Cass,9
Clark,56
Clay,5
Clinton,12
Crawford,0
Daviess,27
DeKalb,11
Dearborn,28
Decatur,39
Delaware,61
Dubois,18
Elkhart,108
Fayette,13
Floyd,61
Fountain,2
Franklin,25
Fulton,2
Gibson,4
Grant,33
Greene,35
Hamilton,109
Hancock,42
Harrison,24
Hendricks,121
Henry,24
Howard,63
Huntington,3
Jackson,9
Jasper,2
Jay,0
Jefferson,3
Jennings,12
Johnson,122
Knox,9
Kosciusko,17
LaGrange,11
LaPorte,37
Lake,317
Lawrence,28
Madison,75
Marion,758
Marshall,24
Martin,0
Miami,3
Monroe,36
Montgomery,21
Morgan,38
Newton,11
Noble,32
Ohio,7
Orange,24
Out of IN,0
Owen,1
Parke,2
Perry,13
Pike,1
Porter,44
Posey,0
Pulaski,1
Putnam,9
Randolph,7
Ripley,8
Rush,4
Scott,10
Shelby,29
Spencer,4
St. Joseph,97
Starke,7
Steuben,7
Sullivan,12
Switzerland,0
Tippecanoe,13
Tipton,22
Unassigned,225
Union,0
Vanderburgh,29
Vermillion,0
Vigo,22
Wabash,8
Warren,1
Warrick,35
Washington,1
Wayne,14
Wells,2
White,14
Whitley,6
Adair,1
Adams,0
Allamakee,5
Appanoose,3
Audubon,1
Benton,1
Black Hawk,86
Boone,7
Bremer,7
Buchanan,1
Buena Vista,12
Butler,2
Calhoun,2
Carroll,5
Cass,2
Cedar,1
Cerro Gordo,21
Cherokee,2
Chickasaw,0
Clarke,3
Clay,3
Clayton,3
Clinton,18
Crawford,4
Dallas,38
Davis,4
Decatur,0
Delaware,3
Des Moines,7
Dickinson,6
Dubuque,40
Emmet,10
Fayette,1
Floyd,3
Franklin,17
Fremont,0
Greene,0
Grundy,2
Guthrie,5
Hamilton,3
Hancock,2
Hardin,1
Harrison,2
Henry,4
Howard,5
Humboldt,3
Ida,0
Iowa,1
Jackson,3
Jasper,32
Jefferson,1
Johnson,27
Jones,3
Keokuk,1
Kossuth,0
Lee,7
Linn,106
Louisa,15
Lucas,6
Lyon,3
Madison,2
Mahaska,19
Marion,4
Marshall,34
Mills,1
Mitchell,0
Monona,1
Monroe,10
Montgomery,5
Muscatine,52
O'Brien,9
Osceola,0
Out of IA,0
Page,0
Palo Alto,0
Plymouth,20
Pocahontas,2
Polk,256
Pottawattamie,37
Poweshiek,8
Ringgold,2
Sac,0
Scott,27
Shelby,1
Sioux,3
Story,17
Tama,31
Taylor,1
Unassigned,0
Union,3
Van Buren,1
Wapello,57
Warren,6
Washington,11
Wayne,2
Webster,14
Winnebago,11
Winneshiek,5
Woodbury,61
Worth,0
Wright,1
Allen,0
Anderson,0
Atchison,1
Barber,0
Barton,5
Bourbon,2
Brown,3
Butler,3
Chase,1
Chautauqua,0
Cherokee,7
Cheyenne,0
Clark,1
Clay,2
Cloud,0
Coffey,8
Comanche,0
Cowley,3
Crawford,6
Decatur,0
Dickinson,1
Doniphan,0
Douglas,10
Edwards,0
Elk,0
Ellis,3
Ellsworth,0
Finney,12
Ford,10
Franklin,3
Geary,2
Gove,0
Graham,1
Grant,4
Gray,0
Greeley,0
Greenwood,0
Hamilton,0
Harper,2
Harvey,4
Haskell,1
Hodgeman,0
Jackson,2
Jefferson,2
Jewell,1
Johnson,141
Kearny,1
Kingman,1
Kiowa,0
Labette,4
Lane,0
Leavenworth,10
Lincoln,0
Linn,0
Logan,0
Lyon,27
Marion,1
Marshall,0
McPherson,1
Meade,1
Miami,1
Mitchell,0
Montgomery,5
Morris,0
Morton,2
Nemaha,1
Neosho,0
Ness,6
Norton,0
Osage,0
Osborne,0
Ottawa,0
Out of KS,0
Pawnee,1
Phillips,8
Pottawatomie,0
Pratt,0
Rawlins,0
Reno,3
Republic,1
Rice,1
Riley,8
Rooks,0
Rush,0
Russell,0
Saline,9
Scott,1
Sedgwick,81
Seward,5
Shawnee,28
Sheridan,0
Sherman,0
Smith,0
Stafford,1
Stanton,2
Stevens,1
Sumner,3
Thomas,0
Trego,3
Unassigned,0
Wabaunsee,1
Wallace,0
Washington,0
Wichita,0
Wilson,2
Woodson,0
Wyandotte,133
Adair,19
Allen,9
Anderson,1
Ballard,1
Barren,13
Bath,1
Bell,12
Boone,25
Bourbon,1
Boyd,5
Boyle,0
Bracken,0
Breathitt,0
Breckinridge,2
Bullitt,9
Butler,16
Caldwell,0
Calloway,8
Campbell,16
Carlisle,1
Carroll,5
Carter,3
Casey,15
Christian,18
Clark,8
Clay,6
Clinton,2
Crittenden,1
Cumberland,0
Daviess,14
Edmonson,12
Elliott,0
Estill,0
Fayette,68
Fleming,0
Floyd,2
Franklin,11
Fulton,2
Gallatin,8
Garrard,3
Grant,6
Graves,29
Grayson,13
Green,8
Greenup,4
Hancock,0
Hardin,10
Harlan,10
Harrison,0
Hart,1
Henderson,3
Henry,2
Hickman,0
Hopkins,39
Jackson,17
Jefferson,296
Jessamine,0
Johnson,1
Kenton,45
Knott,1
Knox,9
Larue,1
Laurel,6
Lawrence,0
Lee,0
Leslie,0
Letcher,2
Lewis,14
Lincoln,13
Livingston,1
Logan,27
Lyon,4
Madison,6
Magoffin,0
Marion,7
Marshall,2
Martin,3
Mason,2
McCracken,6
McCreary,0
McLean,1
Meade,3
Menifee,0
Mercer,2
Metcalfe,2
Monroe,4
Montgomery,3
Morgan,0
Muhlenberg,12
Nelson,4
Nicholas,1
Ohio,9
Oldham,25
Out of KY,0
Owen,2
Owsley,1
Pendleton,0
Perry,8
Pike,3
Powell,0
Pulaski,10
Robertson,0
Rockcastle,1
Rowan,1
Russell,6
Scott,9
Shelby,25
Simpson,8
Spencer,0
Taylor,6
Todd,8
Trigg,0
Trimble,0
Unassigned,0
Union,2
Warren,41
Washington,1
Wayne,0
Webster,3
Whitley,2
Wolfe,0
Woodford,0
Acadia,96
Allen,45
Ascension,96
Assumption,24
Avoyelles,53
Beauregard,37
Bienville,32
Bossier,104
Caddo,342
Calcasieu,207
Caldwell,3
Cameron,2
Catahoula,10
Claiborne,19
Concordia,12
De Soto,35
East Baton Rouge,436
East Carroll,4
East Feliciana,66
Evangeline,31
Franklin,35
Grant,30
Iberia,89
Iberville,58
Jackson,22
Jefferson,564
Jefferson Davis,38
LaSalle,7
Lafayette,122
Lafourche,119
Lincoln,47
Livingston,73
Madison,8
Morehouse,20
Natchitoches,25
Orleans,585
Ouachita,139
Out of LA,0
Plaquemines,19
Pointe Coupee,40
Rapides,144
Red River,21
Richland,10
Sabine,13
St. Bernard,28
St. Charles,58
St. Helena,4
St. James,40
St. John the Baptist,98
St. Landry,124
St. Martin,60
St. Mary,76
St. Tammany,250
Tangipahoa,116
Tensas,2
Terrebonne,109
Unassigned,170
Union,42
Vermilion,57
Vernon,46
Washington,65
Webster,22
West Baton Rouge,41
West Carroll,9
West Feliciana,25
Winn,18
Androscoggin,10
Aroostook,1
Cumberland,70
Franklin,1
Hancock,1
Kennebec,11
Knox,1
Lincoln,1
Out of ME,0
Oxford,0
Penobscot,6
Piscataquis,0
Sagadahoc,0
Somerset,8
Unassigned,0
Waldo,14
Washington,0
York,15
Allegany,22
Anne Arundel,244
Baltimore,617
Baltimore City,480
Calvert,28
Caroline,4
Carroll,124
Cecil,33
Charles,98
Dorchester,10
Frederick,129
Garrett,1
Harford,76
Howard,120
Kent,24
Montgomery,837
Out of MD,0
Prince George's,816
Queen Anne's,26
Somerset,4
St. Mary's,57
Talbot,5
Unassigned,11
Washington,36
Wicomico,48
Worcester,26
Barnstable,172
Berkshire,49
Bristol,683
Dukes,0
Dukes and Nantucket,1
Essex,1266
Franklin,67
Hampden,771
Hampshire,141
Middlesex,2120
Nantucket,0
Norfolk,1046
Out of MA,0
Plymouth,760
Suffolk,1128
Unassigned,5
Worcester,1086
Alcona,2
Alger,0
Allegan,7
Alpena,14
Antrim,0
Arenac,3
Baraga,0
Barry,2
Bay,48
Benzie,2
Berrien,72
Branch,4
Calhoun,44
Cass,16
Charlevoix,3
Cheboygan,2
Chippewa,0
Clare,4
Clinton,13
Crawford,5
Delta,5
Dickinson,2
Eaton,10
Emmet,4
Federal Correctional Institution (FCI),5
Genesee,306
Gladwin,2
Gogebic,1
Grand Traverse,7
Gratiot,15
Hillsdale,27
Houghton,1
Huron,5
Ingham,45
Ionia,7
Iosco,12
Iron,1
Isabella,12
Jackson,44
Kalamazoo,91
Kalkaska,4
Kent,174
Keweenaw,0
Lake,0
Lapeer,36
Leelanau,1
Lenawee,16
Livingston,30
Luce,0
Mackinac,0
Macomb,1009
Manistee,2
Marquette,12
Mason,0
Mecosta,3
Menominee,1
Michigan Department of Corrections (MDOC),73
Midland,11
Missaukee,1
Monroe,28
Montcalm,5
Montmorency,0
Muskegon,69
Newaygo,1
Oakland,1193
Oceana,6
Ogemaw,5
Ontonagon,0
Osceola,0
Oscoda,1
Otsego,11
Ottawa,65
Out of MI,2
Presque Isle,1
Roscommon,4
Saginaw,138
Sanilac,7
Schoolcraft,0
Shiawassee,31
St. Clair,53
St. Joseph,11
Tuscola,31
Unassigned,0
Van Buren,17
Washtenaw,115
Wayne,2955
Wexford,4
Aitkin,1
Anoka,132
Becker,2
Beltrami,4
Benton,3
Big Stone,0
Blue Earth,6
Brown,2
Carlton,1
Carver,7
Cass,3
Chippewa,1
Chisago,1
Clay,40
Clearwater,0
Cook,0
Cottonwood,0
Crow Wing,18
Dakota,125
Dodge,0
Douglas,1
Faribault,0
Fillmore,0
Freeborn,3
Goodhue,9
Grant,4
Hennepin,921
Houston,0
Hubbard,0
Isanti,0
Itasca,13
Jackson,1
Kanabec,8
Kandiyohi,2
Kittson,0
Koochiching,3
Lac qui Parle,0
Lake,0
Lake of the Woods,1
Le Sueur,4
Lincoln,0
Lyon,4
Mahnomen,1
Marshall,1
Martin,9
McLeod,2
Meeker,2
Mille Lacs,3
Morrison,1
Mower,4
Murray,2
Nicollet,16
Nobles,16
Norman,0
Olmsted,27
Otter Tail,4
Out of MN,0
Pennington,1
Pine,0
Pipestone,9
Polk,4
Pope,0
Ramsey,318
Red Lake,0
Redwood,0
Renville,6
Rice,8
Rock,0
Roseau,0
Scott,33
Sherburne,14
Sibley,3
St. Louis,33
Stearns,23
Steele,2
Stevens,1
Swift,1
Todd,2
Traverse,0
Unassigned,52
Wabasha,0
Wadena,0
Waseca,8
Washington,55
Watonwan,4
Wilkin,3
Winona,18
Wright,7
Yellow Medicine,2
Adams,36
Alcorn,11
Amite,10
Attala,25
Benton,1
Bolivar,65
Calhoun,12
Carroll,12
Chickasaw,24
Choctaw,5
Claiborne,16
Clarke,39
Clay,17
Coahoma,27
Copiah,33
Covington,22
DeSoto,55
Forrest,70
Franklin,3
George,13
Greene,17
Grenada,35
Hancock,21
Harrison,72
Hinds,155
Holmes,58
Humphreys,15
Issaquena,3
Itawamba,21
Jackson,67
Jasper,15
Jefferson,9
Jefferson Davis,11
Jones,78
Kemper,15
Lafayette,39
Lamar,34
Lauderdale,124
Lawrence,12
Leake,37
Lee,67
Leflore,80
Lincoln,53
Lowndes,57
Madison,86
Marion,33
Marshall,15
Monroe,65
Montgomery,20
Neshoba,103
Newton,23
Noxubee,15
Oktibbeha,50
Out of MS,0
Panola,27
Pearl River,50
Perry,17
Pike,48
Pontotoc,16
Prentiss,17
Quitman,5
Rankin,75
Scott,25
Sharkey,12
Simpson,43
Smith,14
Stone,11
Sunflower,44
Tallahatchie,18
Tate,37
Tippah,16
Tishomingo,37
Tunica,13
Unassigned,0
Union,24
Walthall,25
Warren,50
Washington,71
Wayne,21
Webster,13
Wilkinson,17
Winston,19
Yalobusha,14
Yazoo,29
Adair,0
Andrew,1
Atchison,0
Audrain,2
Barry,6
Barton,0
Bates,1
Benton,2
Bollinger,1
Boone,6
Buchanan,13
Butler,4
Caldwell,1
Callaway,2
Camden,10
Cape Girardeau,10
Carroll,1
Carter,1
Cass,17
Cedar,0
Chariton,0
Christian,3
Clark,0
Clay,40
Clinton,0
Cole,7
Cooper,2
Crawford,2
Dade,0
Dallas,1
Daviess,0
DeKalb,2
Dent,0
Douglas,3
Dunklin,6
Franklin,26
Gasconade,15
Gentry,9
Greene,19
Grundy,2
Harrison,1
Henry,4
Hickory,2
Holt,0
Howard,2
Howell,3
Iron,0
Jackson,92
Jasper,43
Jefferson,50
Johnson,4
Kansas City,103
Knox,1
Laclede,3
Lafayette,2
Lawrence,2
Lewis,2
Lincoln,3
Linn,1
Livingston,1
Macon,0
Madison,0
Maries,0
Marion,14
McDonald,11
Mercer,0
Miller,1
Mississippi,3
Moniteau,4
Monroe,0
Montgomery,1
Morgan,1
New Madrid,14
Newton,14
Nodaway,9
Oregon,0
Osage,1
Out of MO,0
Ozark,0
Pemiscot,9
Perry,4
Pettis,8
Phelps,1
Pike,3
Platte,10
Polk,2
Pulaski,5
Putnam,1
Ralls,0
Randolph,2
Ray,0
Reynolds,0
Ripley,0
Saline,9
Schuyler,0
Scotland,1
Scott,16
Shannon,1
Shelby,1
St. Charles,108
St. Clair,0
St. Francois,8
St. Louis,782
St. Louis City,195
Ste. Genevieve,1
Stoddard,9
Stone,4
Sullivan,0
Taney,28
Texas,2
Unassigned,0
Vernon,1
Warren,0
Washington,5
Wayne,0
Webster,2
Worth,0
Wright,0
Beaverhead,1
Big Horn,21
Blaine,0
Broadwater,0
Carbon,0
Carter,0
Cascade,5
Chouteau,0
Custer,2
Daniels,0
Dawson,1
Deer Lodge,0
Fallon,0
Fergus,1
Flathead,16
Gallatin,4
Garfield,0
Glacier,1
Golden Valley,0
Granite,0
Hill,3
Jefferson,0
Judith Basin,0
Lake,1
Lewis and Clark,3
Liberty,0
Lincoln,3
Madison,1
McCone,0
Meagher,1
Mineral,0
Missoula,3
Musselshell,1
Out of MT,0
Park,0
Petroleum,0
Phillips,0
Pondera,0
Powder River,0
Powell,0
Prairie,0
Ravalli,2
Richland,2
Roosevelt,1
Rosebud,17
Sanders,1
Sheridan,0
Silver Bow,0
Stillwater,2
Sweet Grass,1
Teton,0
Toole,6
Treasure,0
Unassigned,0
Valley,0
Wheatland,0
Wibaux,0
Yellowstone,56
Adams,12
Antelope,1
Arthur,0
Banner,0
Blaine,0
Boone,0
Box Butte,0
Boyd,0
Brown,0
Buffalo,4
Burt,0
Butler,1
Cass,2
Cedar,0
Chase,0
Cherry,4
Cheyenne,0
Clay,0
Colfax,5
Cuming,0
Custer,4
Dakota,43
Dawes,0
Dawson,12
Deuel,0
Dixon,2
Dodge,11
Douglas,177
Dundy,1
Fillmore,1
Franklin,0
Frontier,0
Furnas,1
Gage,5
Garden,0
Garfield,0
Gosper,0
Grant,0
Greeley,0
Hall,47
Hamilton,12
Harlan,0
Hayes,0
Hitchcock,0
Holt,0
Hooker,0
Howard,5
Jefferson,0
Johnson,0
Kearney,0
Keith,0
Keya Paha,0
Kimball,0
Knox,0
Lancaster,24
Lincoln,2
Logan,0
Loup,0
Madison,5
McPherson,0
Merrick,1
Morrill,0
Nance,0
Nemaha,0
Nuckolls,0
Otoe,1
Out of NE,0
Pawnee,0
Perkins,9
Phelps,0
Pierce,7
Platte,3
Polk,1
Red Willow,0
Richardson,1
Rock,0
Saline,2
Sarpy,15
Saunders,3
Scotts Bluff,7
Seward,3
Sheridan,0
Sherman,1
Sioux,0
Stanton,0
Thayer,0
Thomas,0
Thurston,4
Unassigned,0
Valley,0
Washington,2
Wayne,0
Webster,0
Wheeler,0
York,1
Carson City,8
Churchill,3
Clark,1327
Douglas,1
Elko,8
Esmeralda,0
Eureka,0
Humboldt,4
Lander,1
Lincoln,0
Lyon,7
Mineral,0
Nye,15
Out of NV,0
Pershing,0
Storey,0
Unassigned,0
Washoe,153
White Pine,1
Belknap,4
Carroll,2
Cheshire,3
Coos,0
Grafton,1
Hillsborough,288
Merrimack,23
Out of NH,0
Rockingham,103
Strafford,13
Sullivan,1
Unassigned,0
Atlantic,255
Bergen,2044
Burlington,490
Camden,605
Cape May,95
Cumberland,157
Essex,2125
Gloucester,224
Hudson,1513
Hunterdon,125
Mercer,635
Middlesex,1425
Monmouth,864
Morris,831
Ocean,1042
Out of NJ,0
Passaic,1251
Salem,89
Somerset,569
Sussex,198
Unassigned,0
Union,1356
Warren,171
Bernalillo,170
Catron,1
Chaves,10
Cibola,20
Colfax,1
Curry,5
De Baca,0
Dona Ana,53
Eddy,6
Grant,2
Guadalupe,1
Harding,0
Hidalgo,2
Lea,21
Lincoln,3
Los Alamos,0
Luna,6
McKinley,255
Mora,0
Otero,13
Out of NM,0
Quay,2
Rio Arriba,13
Roosevelt,3
San Juan,197
San Miguel,0
Sandoval,40
Santa Fe,5
Sierra,1
Socorro,6
Taos,4
Torrance,1
Unassigned,0
Union,2
Valencia,4
Albany,134
Allegany,1
Bronx,4939
Broome,69
Cattaraugus,6
Cayuga,2
Chautauqua,9
Chemung,3
Chenango,7
Clinton,5
Columbia,37
Cortland,0
Delaware,4
Dutchess,153
Erie,689
Essex,0
Franklin,0
Fulton,24
Genesee,5
Greene,18
Hamilton,0
Herkimer,10
Jefferson,0
Kings,7315
Lewis,0
Livingston,8
Madison,17
Monroe,289
Montgomery,4
Nassau,2201
New York,3173
Niagara,101
Oneida,123
Onondaga,205
Ontario,35
Orange,498
Orleans,54
Oswego,3
Otsego,5
Out of NY,0
Putnam,63
Queens,7243
Rensselaer,42
